,title,price,quantity_sold,location,sale_off,reviews,links
41,"[Da Bò Thật 100%]Ví Da Nam, Ví Nam Dáng Đứng( Bảo Hành 12 Tháng)",119.000 ₫,398 Đã bán,Hà Nội,40% Off,(112),https://www.lazada.vn/products/da-bo-that-100vi-da-nam-vi-nam-dang-dung-bao-hanh-12-thang-i1302629871.html
42,VÍ DA NAM THỜI TRANG CAO CẤP SANG TRỌNG LỊCH LÃM CHÍNH HIỆU FUERDANNI LEATHER FD01,69.000 ₫,"9,999+ Đã bán",Hồ Chí Minh,"61% Off
LazFlash Sale, tới 23:59",(4901),https://www.lazada.vn/products/vi-da-nam-thoi-trang-cao-cap-sang-trong-lich-lam-chinh-hieu-fuerdanni-leather-fd01-i1123340585.html
43,Ví Nam Dáng Đứng Jolizeon Chất Da Mềm Nhỏ Gọn Nhiều Ngăn 567 Cao Cấp Cực Đẹp - hazo,52.110 ₫,181 Đã bán,Hồ Chí Minh,47% Off,(56),https://www.lazada.vn/products/vi-nam-dang-dung-jolizeon-chat-da-mem-nho-gon-nhieu-ngan-567-cao-cap-cuc-dep-hazo-i2025685499.html
44,"Ví Da Nam Đứng , Ngắn Dạng Gập Có Khóa Kéo Thời Trang Cho Nam Jolizeon 638",15.000 ₫,15 Đã bán,Hà Nội,50% Off,(3),https://www.lazada.vn/products/vi-da-nam-dung-ngan-dang-gap-co-khoa-keo-thoi-trang-cho-nam-jolizeon-638-i2515143479.html
45,"Ví Nam, Bóp nam phong cách kẻ VL trẻ trung năng động, dễ phối hợp các phong cách, nhiều ngăn đựng",33.000 ₫,102 Đã bán,Hà Nội,77% Off,(27),https://www.lazada.vn/products/vi-nam-bop-nam-phong-cach-ke-vl-tre-trung-nang-dong-de-phoi-hop-cac-phong-cach-nhieu-ngan-dung-i1815095084.html
46,Ví Nam Vải Bố Ngắn Ví Sức Chứa Lớn Thường Ngày Cá Tính,56.000 ₫,251 Đã bán,Nước ngoài,57% Off,(84),https://www.lazada.vn/products/vi-nam-vai-bo-ngan-vi-suc-chua-lon-thuong-ngay-ca-tinh-i2024146140.html
47,"[Fullbox] Ví nam pedro da mềm, hàng chuẩn xuất xịn, kèm hộp và túi giấy làm quà tặng siêu sang",125.000 ₫,894 Đã bán,Hồ Chí Minh,,(201),https://www.lazada.vn/products/fullbox-vi-nam-pedro-da-mem-hang-chuan-xuat-xin-kem-hop-va-tui-giay-lam-qua-tang-sieu-sang-i1618861747.html
48,Ví Da PU Cho Nam Túi Đựng Tiền Đựng Thẻ Tiền Xu Ví Cầm Tay Gập Đôi Mỏng,78.896 ₫,1k+ Đã bán,Nước ngoài,42% Off,(424),https://www.lazada.vn/products/vi-da-pu-cho-nam-tui-dung-tien-dung-the-tien-xu-vi-cam-tay-gap-doi-mong-i1105798884.html
49,Menspe người đàn ông Ví PU mềm Ví Ví doanh nhân da PU chất lượng cao Túi Tiền xu dây kéo multi-thẻ vị trí ID tín dụng đồ chứa thẻ màu trơn túi tiền du lịch Ví đựng xu,89.000 ₫,471 Đã bán,Nước ngoài,"55% Off
Mua 2 giảm 3 đ",(172),https://www.lazada.vn/products/menspe-nguoi-dan-ong-vi-pu-mem-vi-vi-doanh-nhan-da-pu-chat-luong-cao-tui-tien-xu-day-keo-multi-the-vi-tri-id-tin-dung-do-chua-the-mau-tron-tui-tien-du-lich-vi-dung-xu-i2072458097.html
50,Ví Da Nam Cao Cấp Có Hộp Đựng Sang Trọng 3M183,71.250 ₫,687 Đã bán,Hà Nội,49% Off,(134),https://www.lazada.vn/products/vi-da-nam-cao-cap-co-hop-dung-sang-trong-3m183-i1485221532.html
