,title,price,quantity_sold,location,sale_off,reviews,links
1197,Ví nam mini nhiều ngăn handmade da bò thật nguyên miếng SVM3,399.000 ₫,91 Đã bán,Ninh Bình,,(44),https://www.lazada.vn/products/vi-nam-mini-nhieu-ngan-handmade-da-bo-that-nguyen-mieng-svm3-i1362706636.html
1198,Ví da nam cao cấp hiệu Gucci dáng đứng họa tiết nổi sang trọng,259.000 ₫,28 Đã bán,Nam Định,,(128),https://www.lazada.vn/products/vi-da-nam-cao-cap-hieu-gucci-dang-dung-hoa-tiet-noi-sang-trong-i2426893837.html
1199,Ví nam cao cấp full hộp Williampolo chất liệu da bò nguyên tấm V30,510.000 ₫,114 Đã bán,Hà Nội,50% Off,(8),https://www.lazada.vn/products/vi-nam-cao-cap-full-hop-williampolo-chat-lieu-da-bo-nguyen-tam-v30-i2497882720.html
1200,"[PHIÊN BẢN HOT] Ví nam, ví da nam, bóp nam, bóp da nam, bóp nam Baellerry GK-201 thời trang, siêu bền đẹp, phong cách Hàn Quốc, 2 màu nâu đen - GINKA",115.000 ₫,43 Đã bán,Hà Nội,54% Off,(143),https://www.lazada.vn/products/phien-ban-hot-vi-nam-vi-da-nam-bop-nam-bop-da-nam-bop-nam-baellerry-gk-201-thoi-trang-sieu-ben-dep-phong-cach-han-quoc-2-mau-nau-den-ginka-i348854600.html
1201,"(Xả hàng) Bộ ví da nam - Dây thắt lưng nam,dây nịt da nam cao cấp (mầu đen)",61.500 ₫,95 Đã bán,Hà Nội,49% Off,(14),https://www.lazada.vn/products/xa-hang-bo-vi-da-nam-day-that-lung-namday-nit-da-nam-cao-cap-mau-den-i236311969.html
1202,VÍ ĐỰNG THẺ DA TRĂN. VÍ NAME CARD DA TRĂN M042,166.000 ₫,66 Đã bán,Hà Nội,59% Off,(21),https://www.lazada.vn/products/vi-dung-the-da-tran-vi-name-card-da-tran-m042-i2315346376.html
1203,Ví mini đựng thẻ da bò Vicobi M22 dành cho nam và nữ dòng card holder sản xuất tại Việt Nam,139.000 ₫,14 Đã bán,Hà Nội,31% Off,(340),https://www.lazada.vn/products/vi-mini-dung-the-da-bo-vicobi-m22-danh-cho-nam-va-nu-dong-card-holder-san-xuat-tai-viet-nam-i1398448589.html
1204,Ví bóp Mini Nam Nữ Da Công Sở Để Thẻ ATM Card Visit Tiền Mặt Bóp Da Đẹp- GUTADI,29.000 ₫,138 Đã bán,Hồ Chí Minh,51% Off,(90),https://www.lazada.vn/products/vi-bop-mini-nam-nu-da-cong-so-de-the-atm-card-visit-tien-mat-bop-da-dep-gutadi-i2123385193.html
1205,"Ví Da Nam Bỏ Túi DAIQISI Cao Cấp, Kiểu Dáng Ví Ngang Nam Tính Mạnh Mẽ phong cách hàn quốc",67.000 ₫,249 Đã bán,Hồ Chí Minh,50% Off,(13),https://www.lazada.vn/products/vi-da-nam-bo-tui-daiqisi-cao-cap-kieu-dang-vi-ngang-nam-tinh-manh-me-phong-cach-han-quoc-i2093591144.html
1206,"Bóp ví nam cao cấp Tailian, ví da nam da bò có ngăn khoá kéo đựng tiền, bóp nam đẹp có hộp đựng",169.000 ₫,28 Đã bán,Hồ Chí Minh,30% Off,(31),https://www.lazada.vn/products/bop-vi-nam-cao-cap-tailian-vi-da-nam-da-bo-co-ngan-khoa-keo-dung-tien-bop-nam-dep-co-hop-dung-i2349572377.html
1207,Ví nam da bò h2 da thật bảo hành 24 tháng kiểu dáng sang trọng đẳng cấp,97.000 ₫,340 Đã bán,Nam Định,35% Off,(17),https://www.lazada.vn/products/vi-nam-da-bo-h2-da-that-bao-hanh-24-thang-kieu-dang-sang-trong-dang-cap-i1991192099.html
1208,Ví nam Huy Hoàng da cá sấu gai đuôi màu xanh rêu HP2742,196.000 ₫,92 Đã bán,Bình Dương,"51% Off
Áp dụng voucher
Mua 1 giảm 3.000 đ",(121),https://www.lazada.vn/products/vi-nam-huy-hoang-da-ca-sau-gai-duoi-mau-xanh-reu-hp2742-i2481417513.html
1209,Ví da nam cao cấp bóp ví nam thời trang mini nhỏ gọn tiện lợi Sen3/Sen 5,99.000 ₫,32 Đã bán,Hà Nội,60% Off,(110),https://www.lazada.vn/products/vi-da-nam-cao-cap-bop-vi-nam-thoi-trang-mini-nho-gon-tien-loi-sen3sen-5-i2258054490.html
1210,[vcs] Ví Cá Sấu Đan Viền | Ví Da Cá Sấu Bụng Thủ Công 2 Mặt Màu Nâu | Dáng Ngang | Bảo Hành 24 Tháng. -xuânshop040,46.500 ₫,41 Đã bán,Hà Nội,17% Off,(53),https://www.lazada.vn/products/vcs-vi-ca-sau-dan-vien-vi-da-ca-sau-bung-thu-cong-2-mat-mau-nau-dang-ngang-bao-hanh-24-thang-xuanshop040-i1993946436.html
1211,QuXis Ví Đựng Thẻ Nam Mới 2023 Ví Mini Mỏng Túi Đựng Thẻ Ví Đựng Tiền Xu Pu Tinh Tế Phi Giới Tính Túi Đựng Tiền Mặt Thẻ Ngân Hàng,39.600 ₫,662 Đã bán,Nước ngoài,51% Off,(23),https://www.lazada.vn/products/quxis-vi-dung-the-nam-moi-2023-vi-mini-mong-tui-dung-the-vi-dung-tien-xu-pu-tinh-te-phi-gioi-tinh-tui-dung-tien-mat-the-ngan-hang-i2168765428.html
1212,Ví Nam - Ví Da Nam - Ví Cầm Tay - Ví Bỏ Túi Tiện Lợi - Bóp Da Nam Lịch Lãm Phong Cách Âu Mỹ - P13 - Ngola,59.000 ₫,184 Đã bán,Hồ Chí Minh,46% Off,(49),https://www.lazada.vn/products/vi-nam-vi-da-nam-vi-cam-tay-vi-bo-tui-tien-loi-bop-da-nam-lich-lam-phong-cach-au-my-p13-ngola-i364566225.html
1213,"Ví Bóp Da 12 Ngăn Đựng Thẻ Atm, Thẻ Căn Cước, Thẻ Sinh Viên",7.400 ₫,17 Đã bán,Hồ Chí Minh,52% Off,(4),https://www.lazada.vn/products/vi-bop-da-12-ngan-dung-the-atm-the-can-cuoc-the-sinh-vien-i1803964935.html
1214,LouisWill Ví nam thời trang cầm tay da PU có khóa kéo kiểu dáng retro đựng thẻ tiền xu,130.000 ₫,98 Đã bán,Nước ngoài,50% Off,(13),https://www.lazada.vn/products/louiswill-vi-nam-thoi-trang-cam-tay-da-pu-co-khoa-keo-kieu-dang-retro-dung-the-tien-xu-i518556005.html
1215,Ví Cầm Tay Nam BULLCAPTAIN. Ví Điện Thoại Di Động Đa Thẻ Kiểm Tra Bit Kinh Doanh Và Giải Trí,326.348 ₫,32 Đã bán,Nước ngoài,"55% Off
Áp dụng voucher",(7),https://www.lazada.vn/products/vi-cam-tay-nam-bullcaptain-vi-dien-thoai-di-dong-da-the-kiem-tra-bit-kinh-doanh-va-giai-tri-i889070584.html
1216,"Bóp da, ví da cá sấu màu đen",54.000 ₫,312 Đã bán,Hồ Chí Minh,33% Off,(1),https://www.lazada.vn/products/bop-da-vi-da-ca-sau-mau-den-i1922537976.html
1217,Ví da bò handmade cao cấp màu xanh lá cây - Cam kết 100% da bò thật - Bảo hành 5 năm - Thương hiệu uy tín Longdo Leather - BD01,279.884 ₫,33 Đã bán,Hồ Chí Minh,44% Off,(17),https://www.lazada.vn/products/vi-da-bo-handmade-cao-cap-mau-xanh-la-cay-cam-ket-100-da-bo-that-bao-hanh-5-nam-thuong-hieu-uy-tin-longdo-leather-bd01-i1488741543.html
1218,Ví Nam Da Bò Thật Thái Lan Cao Cấp Có hộp xịn - VN014 - Sỉ Túi Đẹp SG,99.900 ₫,129 Đã bán,Hồ Chí Minh,60% Off,(4),https://www.lazada.vn/products/vi-nam-da-bo-that-thai-lan-cao-cap-co-hop-xin-vn014-si-tui-dep-sg-i2246167884.html
1219,Ví RFID Thời Trang CUIKCA Ví Da Siêu Mỏng Mini Cho Nam Nữ Slim Wallet Coins Purse Hộp Đựng Thẻ ID & Thẻ Tín Dụng,47.700 ₫,139 Đã bán,Nước ngoài,40% Off,(2),https://www.lazada.vn/products/vi-rfid-thoi-trang-cuikca-vi-da-sieu-mong-mini-cho-nam-nu-slim-wallet-coins-purse-hop-dung-the-id-the-tin-dung-i1104754393.html
1220,"Ví da nam PERA PR006 dáng ngang trơn ,da bò thật - đựng tiền đựng thẻ - bảo hành 12 tháng.",134.609 ₫,336 Đã bán,Hồ Chí Minh,58% Off,(44),https://www.lazada.vn/products/vi-da-nam-pera-pr006-dang-ngang-tron-da-bo-that-dung-tien-dung-the-bao-hanh-12-thang-i2427282606.html
1221,Ví nam da bò saffiano cao cấp N&L Leather da thật fullbox chính hãng,220.000 ₫,30 Đã bán,Hà Nội,29% Off,(3),https://www.lazada.vn/products/vi-nam-da-bo-saffiano-cao-cap-nl-leather-da-that-fullbox-chinh-hang-i1559909859.html
1222,"Bóp ví nam da bò khắc tên theo yêu cầu , ví nam cao cấp thương hiệu galvin",189.000 ₫,1k+ Đã bán,Hồ Chí Minh,58% Off,(8),https://www.lazada.vn/products/bop-vi-nam-da-bo-khac-ten-theo-yeu-cau-vi-nam-cao-cap-thuong-hieu-galvin-i449696341.html
1223,"Ví Ngắn Nam Retro, Ví Doanh Nghiệp, Ví Tiền Đa Chức Năng",165.000 ₫,9 Đã bán,Nước ngoài,45% Off,(2),https://www.lazada.vn/products/vi-ngan-nam-retro-vi-doanh-nghiep-vi-tien-da-chuc-nang-i1050702981.html
1224,NUPUGOO Ví Tiền Xu Mini Bằng Da Thật Cho Nam Ví Nữ Ngắn Cổ Điển Có Khóa Kéo Cho Nữ Ví Nữ Mỏng Nhỏ Cho Nam,100.722 ₫,54 Đã bán,Nước ngoài,56% Off,(6),https://www.lazada.vn/products/nupugoo-vi-tien-xu-mini-bang-da-that-cho-nam-vi-nu-ngan-co-dien-co-khoa-keo-cho-nu-vi-nu-mong-nho-cho-nam-i1456444908.html
1225,Jujutsu Kaisen ví gấp hai Cho Trẻ Em Nam Nữ Anime Ngoại Vi Sinh Viên PU Gấp Làm Đôi Ví ngắn da trò chơi hoạt hình Thẻ Gói Ví đựng xu 0000,167.000 ₫,34 Đã bán,Nước ngoài,27% Off,(2),https://www.lazada.vn/products/jujutsu-kaisen-vi-gap-hai-cho-tre-em-nam-nu-anime-ngoai-vi-sinh-vien-pu-gap-lam-doi-vi-ngan-da-tro-choi-hoat-hinh-the-goi-vi-dung-xu-0000-i2267986868.html
1226,Ví Da Nam Tối Giản ID Thông Minh Mỏng Ví Kim Loại Khe Đựng Thẻ RPID Bằng Sợi Vi Mảnh Cho Nam Ngoài Trời Kiểu Mỹ Ví Nam Túi Tiền Kèm Hộp Quà Tặng,378.000 ₫,78 Đã bán,Nước ngoài,26% Off,(5),https://www.lazada.vn/products/vi-da-nam-toi-gian-id-thong-minh-mong-vi-kim-loai-khe-dung-the-rpid-bang-soi-vi-manh-cho-nam-ngoai-troi-kieu-my-vi-nam-tui-tien-kem-hop-qua-tang-i2238075004.html
1227,Ví sen 3 da bò cao cấp WEMODA chất liệu da thật bảo hành 24 tháng full hộp,95.000 ₫,46 Đã bán,Hà Nội,53% Off,(8),https://www.lazada.vn/products/vi-sen-3-da-bo-cao-cap-wemoda-chat-lieu-da-that-bao-hanh-24-thang-full-hop-i2108702730.html
1228,"Bóp da nam da bò thật màu xanh lá, ví ngang gập đôi thương hiệu Longdo Leather - Bảo hành 5 năm - B11",354.000 ₫,38 Đã bán,Hồ Chí Minh,37% Off,(7),https://www.lazada.vn/products/bop-da-nam-da-bo-that-mau-xanh-la-vi-ngang-gap-doi-thuong-hieu-longdo-leather-bao-hanh-5-nam-b11-i2342465113.html
1229,Jujutsu kaisen gojo itadori yujis satoru ví gấp hai cho trẻ em nam nữ Anime in ngoại vi Ví ngắn gấp nửa ví đựng tiền xu đựng thẻ 0000,142.000 ₫,1k+ Đã bán,Nước ngoài,27% Off,(2),https://www.lazada.vn/products/jujutsu-kaisen-gojo-itadori-yujis-satoru-vi-gap-hai-cho-tre-em-nam-nu-anime-in-ngoai-vi-vi-ngan-gap-nua-vi-dung-tien-xu-dung-the-0000-i2268102890.html
1230,Bóp nam Huy Hoàng da cá sấu kiểu đứng màu đen HP2228,247.000 ₫,23 Đã bán,Bình Dương,"51% Off
Áp dụng voucher
Mua 1 giảm 3.000 đ",(262),https://www.lazada.vn/products/bop-nam-huy-hoang-da-ca-sau-kieu-dung-mau-den-hp2228-i2481567224.html
1231,Ví nam da bò pullup dáng đứng và dáng ngang,179.000 ₫,11 Đã bán,Hồ Chí Minh,32% Off,(54),https://www.lazada.vn/products/vi-nam-da-bo-pullup-dang-dung-va-dang-ngang-i2219180488.html
1232,Ví Da Nam Đẹp Kiểu Ví Ngang Hàn Quốc Nhiều Ngăn Có Ngăn Kéo TH0042,1.000 ₫,44 Đã bán,Hồ Chí Minh,95% Off,(43),https://www.lazada.vn/products/vi-da-nam-dep-kieu-vi-ngang-han-quoc-nhieu-ngan-co-ngan-keo-th0042-i2551862516.html
1233,Ví da Nam Nappa Chân kim chất liệu 100% từ da bò.,160.000 ₫,8 Đã bán,Hồ Chí Minh,,(14),https://www.lazada.vn/products/vi-da-nam-nappa-chan-kim-chat-lieu-100-tu-da-bo-i1912918498.html
1234,"Ví Da Mini Đựng Thẻ Nam Nữ B21 Shoemaker Cầm Tay Dáng Đứng, Bóp Da Cao Cấp Đựng Thẻ Card ATM, CMND, GPLX Nhỏ Gọn Full Box",79.000 ₫,163 Đã bán,Thừa Thiên Huế,60% Off,(19),https://www.lazada.vn/products/vi-da-mini-dung-the-nam-nu-b21-shoemaker-cam-tay-dang-dung-bop-da-cao-cap-dung-the-card-atm-cmnd-gplx-nho-gon-full-box-i1546513708.html
1235,Ví card mini nam Leonardo Mercury da Taiga,299.000 ₫,87 Đã bán,Hồ Chí Minh,23% Off,(16),https://www.lazada.vn/products/vi-card-mini-nam-leonardo-mercury-da-taiga-i1646886863.html
1236,Ví nam LAFORCE da bò nhập khẩu tinh tế VLAN-23D,299.000 ₫,16 Đã bán,Hà Nội,29% Off,(9),https://www.lazada.vn/products/vi-nam-laforce-da-bo-nhap-khau-tinh-te-vlan-23d-i2319086859.html
1237,"[Ưu đãi chỉ 3 ngày] Ví ngắn nam da bò thật 100% cầm tay kích thước nhỏ gọn chính hãng Artemis P02YTWB-C-D cổ điển lịch lãm đi chơi, du lịch, đi tiệc, đi làm, hàng đẹp, cao cấp, chất Siêu bền, phong cách Hàn Quốc cá tính mẫu mới",135.000 ₫,53 Đã bán,Bà Rịa Vũng Tàu,32% Off,(64),https://www.lazada.vn/products/uu-dai-chi-3-ngay-vi-ngan-nam-da-bo-that-100-cam-tay-kich-thuoc-nho-gon-chinh-hang-artemis-p02ytwb-c-d-co-dien-lich-lam-di-choi-du-lich-di-tiec-di-lam-hang-dep-cao-cap-chat-sieu-ben-phong-cach-han-quoc-ca-tinh-mau-moi-i1564897200.html
1238,Đồ Da Thủ Công - Ví Nam Da PU Cao Cấp,149.000 ₫,22 Đã bán,Hà Nội,Mua 2 giảm 5.000 đ,(68),https://www.lazada.vn/products/do-da-thu-cong-vi-nam-da-pu-cao-cap-i2579932776.html
1239,Đồ Da Thủ Công - Ví Nam Thời Trang,92.000 ₫,32 Đã bán,Hà Nội,Mua 2 giảm 5.000 đ,(9),https://www.lazada.vn/products/do-da-thu-cong-vi-nam-thoi-trang-i2579949320.html
1240,1 Chiếc Ví Nam Ví Da Nam Nhỏ Ví Nhỏ Đựng Thẻ Ví Nam Bỏ Túi Ví Phong Cách Retro HOT,25.733 ₫,21 Đã bán,Nước ngoài,60% Off,(1),https://www.lazada.vn/products/1-chiec-vi-nam-vi-da-nam-nho-vi-nho-dung-the-vi-nam-bo-tui-vi-phong-cach-retro-hot-i2183035064.html
1241,Clutch Thời Trang Nam Nữ Siêu Hot 3M14,73.150 ₫,5 Đã bán,Hà Nội,44% Off,(33),https://www.lazada.vn/products/clutch-thoi-trang-nam-nu-sieu-hot-3m14-i408720145.html
1242,Ngựa Điên Mới 2022 Da Thật Rồng Sang Trọng Túi Đựng Thẻ Cho Nam Túi Mỏng Đựng Thẻ Tín Dụng Organ Túi Đựng Thẻ Cà Phê Retro Túi Có Khóa Kéo,145.000 ₫,377 Đã bán,Nước ngoài,27% Off,(5),https://www.lazada.vn/products/ngua-dien-moi-2022-da-that-rong-sang-trong-tui-dung-the-cho-nam-tui-mong-dung-the-tin-dung-organ-tui-dung-the-ca-phe-retro-tui-co-khoa-keo-i1795741572.html
1243,"Bóp ví nam da bò thật , ví da nam mềm mại, nhiều ngăn đựng thẻ- full hộp thích hợp làm quà tặng",179.000 ₫,48 Đã bán,Hồ Chí Minh,28% Off,(83),https://www.lazada.vn/products/bop-vi-nam-da-bo-that-vi-da-nam-mem-mai-nhieu-ngan-dung-the-full-hop-thich-hop-lam-qua-tang-i1621873169.html
1244,"1 Ví Đựng Thẻ ID Người Đàn Ông Ví Ví Da Ngắn, Kẹp Tiền Bằng Da PU Sollid Mỏng Ví Cho Nam Giới Ví Ngắn Da Ví",56.000 ₫,16 Đã bán,Nước ngoài,49% Off,(11),https://www.lazada.vn/products/1-vi-dung-the-id-nguoi-dan-ong-vi-vi-da-ngan-kep-tien-bang-da-pu-sollid-mong-vi-cho-nam-gioi-vi-ngan-da-vi-i1211860885.html
1245,"Ví Bóp Nam Đứng Da Bò Pullup , Ngăn Rộng Rãi , Đựng Vừa Các Loại Giấy Tờ NP68-Bảo hành 12 tháng",239.000 ₫,94 Đã bán,Hà Nội,,(85),https://www.lazada.vn/products/vi-bop-nam-dung-da-bo-pullup-ngan-rong-rai-dung-vua-cac-loai-giay-to-np68-bao-hanh-12-thang-i1187364784.html
1246,Ví nam mini cao cấp cực chất Bóp nam Baellerry mini thời trang nhỏ gọn - V101,69.000 ₫,11 Đã bán,Hà Nội,54% Off,(172),https://www.lazada.vn/products/vi-nam-mini-cao-cap-cuc-chat-bop-nam-baellerry-mini-thoi-trang-nho-gon-v101-i1662786107.html
1247,Ví nam da khắc tên /Ví nam khắc hình/Ví nam da bò cao cấp thương hiệu Galvin,189.000 ₫,28 Đã bán,Hồ Chí Minh,58% Off,(2),https://www.lazada.vn/products/vi-nam-da-khac-ten-vi-nam-khac-hinhvi-nam-da-bo-cao-cap-thuong-hieu-galvin-i1230004548.html
1248,"Bóp ví nam cao cấp TAILIAN, ví nam da bò mềm mại, có khóa kéo-full hộp",189.000 ₫,74 Đã bán,Hồ Chí Minh,48% Off,(2),https://www.lazada.vn/products/bop-vi-nam-cao-cap-tailian-vi-nam-da-bo-mem-mai-co-khoa-keo-full-hop-i1953300954.html
1249,"Ví dài cầm tay da PU xu hướng hiện đại, thời trang và phong cách",39.000 ₫,10 Đã bán,Hà Nội,22% Off,(51),https://www.lazada.vn/products/vi-dai-cam-tay-da-pu-xu-huong-hien-dai-thoi-trang-va-phong-cach-i826720679.html
1250,Ví da nam LAFORCE da bò thật cao cấp bền đẹp thời trang VLAN-23,299.000 ₫,15 Đã bán,Hà Nội,29% Off,(5),https://www.lazada.vn/products/vi-da-nam-laforce-da-bo-that-cao-cap-ben-dep-thoi-trang-vlan-23-i2319219821.html
1251,Ví nam mini nhỏ gọn da bò cao cấp - Bóp da thật nam nữ tặng kèm hộp đẹp làm quà tặng sang trọng - CM25 Rapidova,225.000 ₫,73 Đã bán,Hồ Chí Minh,50% Off,(55),https://www.lazada.vn/products/vi-nam-mini-nho-gon-da-bo-cao-cap-bop-da-that-nam-nu-tang-kem-hop-dep-lam-qua-tang-sang-trong-cm25-rapidova-i2049776973.html
1252,Manbang Chất lượng cao phong cách cổ điển Ví da chính hãng Ví Da Nam Ví ngắn Nam Ví đựng thẻ Ví nam ngăn chặn Ví nóng RFID cho nam,248.886 ₫,78 Đã bán,Nước ngoài,55% Off,(1),https://www.lazada.vn/products/manbang-chat-luong-cao-phong-cach-co-dien-vi-da-chinh-hang-vi-da-nam-vi-ngan-nam-vi-dung-the-vi-nam-ngan-chan-vi-nong-rfid-cho-nam-i810464752.html
1253,Ví Tiền BULLCAPTAIN Zip Ví Nam RFID Ví Da Không Chổi Than,249.808 ₫,10 Đã bán,Nước ngoài,"56% Off
Áp dụng voucher",(6),https://www.lazada.vn/products/vi-tien-bullcaptain-zip-vi-nam-rfid-vi-da-khong-choi-than-i400614629.html
1254,Contact's Chính Hãng Ví Nam Da Nam Màu Dài Walet Dây Kéo Cartera Với Điện Thoại Bỏ Túi Có Ngăn Chứa Thẻ,436.682 ₫,10 Đã bán,Nước ngoài,45% Off,(6),https://www.lazada.vn/products/contacts-chinh-hang-vi-nam-da-nam-mau-dai-walet-day-keo-cartera-voi-dien-thoai-bo-tui-co-ngan-chua-the-i355128032.html
1255,Ví/Bóp đựng thẻ namecard Compart mini nhỏ gọn để thẻ da bò VD08-Bảo hành 12 tháng,99.000 ₫,79 Đã bán,Hà Nội,50% Off,(14),https://www.lazada.vn/products/vibop-dung-the-namecard-compart-mini-nho-gon-de-the-da-bo-vd08-bao-hanh-12-thang-i1238353041.html
1256,"[Free Ship - Da Thật Logo 3D] Bóp Ví Da Bò Thật Dáng ngang Kèm Hộp Đựng Lịch Sự Cam Kết 1 Đổi 1 Trong 7 Ngày, Bảo Hành 3 Năm, ví tiền nam nhiều ngăn đựng tiền và thẻ cao cấp",290.000 ₫,76 Đã bán,Hồ Chí Minh,,(1),https://www.lazada.vn/products/free-ship-da-that-logo-3d-bop-vi-da-bo-that-dang-ngang-kem-hop-dung-lich-su-cam-ket-1-doi-1-trong-7-ngay-bao-hanh-3-nam-vi-tien-nam-nhieu-ngan-dung-tien-va-the-cao-cap-i1198722122.html
1257,Ví Da Nam Nhỏ Gọn cao cấp SMARTWALLET - 6 màu lựa chọn – có nam châm - Ví Sen Da Bò nhập khẩu kèm mẫu thử – Bóp Da Bò - Ví Da Nhỏ Gọn,159.000 ₫,10 Đã bán,Hồ Chí Minh,49% Off,(1),https://www.lazada.vn/products/vi-da-nam-nho-gon-cao-cap-smartwallet-6-mau-lua-chon-co-nam-cham-vi-sen-da-bo-nhap-khau-kem-mau-thu-bop-da-bo-vi-da-nho-gon-i1246309845.html
1258,"Ví nam da saffiano V141 cao cấp, bóp nam da thật có thêm ngăn phụ ở giữa, nhiều ngăn chứa tiền chứa thẻ, dáng ngang có khóa kéo, lót da heo bền bỉ, Fullbox hộp làm quà tặng,thương hiệu Bụi leather chuyên đồ da thật,bảo hành 12 thán",253.000 ₫,11 Đã bán,Hà Nội,36% Off,(8),https://www.lazada.vn/products/vi-nam-da-saffiano-v141-cao-cap-bop-nam-da-that-co-them-ngan-phu-o-giua-nhieu-ngan-chua-tien-chua-the-dang-ngang-co-khoa-keo-lot-da-heo-ben-bi-fullbox-hop-lam-qua-tangthuong-hieu-bui-leather-chuyen-do-da-thatbao-hanh-12-than-i1322636296.html
1259,VÍ DA TRƠN MÀU ĐỎ TƯƠI DÀNH CHO PHÁI NAM - VÍ DA BÒ NGUYÊN TẤM - NHẬN KHẮC LAZE MIỄN PHÍ CHO SẢN PHẨM,200.000 ₫,13 Đã bán,Hà Nội,50% Off,(25),https://www.lazada.vn/products/vi-da-tron-mau-do-tuoi-danh-cho-phai-nam-vi-da-bo-nguyen-tam-nhan-khac-laze-mien-phi-cho-san-pham-i886600063.html
1260,Menspe Người Đàn Ông Ví thẻ RFID Trường Hợp An Toàn đồ đựng thẻ Chống Trộm RFID Chặn Ví da PU đồ đựng thẻ Đồng Xu ví đựng tài liệu Tổ Chức Trường Hợp Thẻ Với Dây Kéo Cho Nam Giới Và Phụ Nữ,128.000 ₫,9 Đã bán,Nước ngoài,"56% Off
Mua 2 giảm 3 đ",(5),https://www.lazada.vn/products/menspe-nguoi-dan-ong-vi-the-rfid-truong-hop-an-toan-do-dung-the-chong-trom-rfid-chan-vi-da-pu-do-dung-the-dong-xu-vi-dung-tai-lieu-to-chuc-truong-hop-the-voi-day-keo-cho-nam-gioi-va-phu-nu-i2059343178.html
1261,Đơn giản của người đàn ông Ví da PU ngắn nửa gấp thẻ ví túi thích hợp cho mg HS ZS EV EP MG3 3sw MG4 MG5 mg6 mg7 ZR EHS xe người đàn ông của nhiều thẻ ví có ngăn,70.000 ₫,28 Đã bán,Nước ngoài,43% Off,(10),https://www.lazada.vn/products/don-gian-cua-nguoi-dan-ong-vi-da-pu-ngan-nua-gap-the-vi-tui-thich-hop-cho-mg-hs-zs-ev-ep-mg3-3sw-mg4-mg5-mg6-mg7-zr-ehs-xe-nguoi-dan-ong-cua-nhieu-the-vi-co-ngan-i2484652743.html
1262,"Ví nam da bò thô nguyên tấm dạng Đứng, bảo hành 24 tháng, có kèm hộp",175.000 ₫,352 Đã bán,Hồ Chí Minh,30% Off,(1),https://www.lazada.vn/products/vi-nam-da-bo-tho-nguyen-tam-dang-dung-bao-hanh-24-thang-co-kem-hop-i370092135.html
1263,Ví da nam mini nhỏ gọn dáng đứng thương hiệu VAZCO chất liệu da bò Nappa,118.524 ₫,111 Đã bán,Hồ Chí Minh,59% Off,(4),https://www.lazada.vn/products/vi-da-nam-mini-nho-gon-dang-dung-thuong-hieu-vazco-chat-lieu-da-bo-nappa-i2485808803.html
1264,Bóp Ví Da Nam Đại Bàng 613 Form Vuông Ngang Thời Trang,35.000 ₫,616 Đã bán,Hồ Chí Minh,41% Off,(70),https://www.lazada.vn/products/bop-vi-da-nam-dai-bang-613-form-vuong-ngang-thoi-trang-i2414448735.html
1265,Người Đàn Ông Sang Trọng Của túi ví da sức chứa lớn Dài Ví Chất lượng cao ly hợp da bò Ví Túi xách thời trang Cho Mg ZS EV Ep Cộng Với HS ZS Mg5 Extender Mg6 Rx5,203.000 ₫,19 Đã bán,Nước ngoài,38% Off,(7),https://www.lazada.vn/products/nguoi-dan-ong-sang-trong-cua-tui-vi-da-suc-chua-lon-dai-vi-chat-luong-cao-ly-hop-da-bo-vi-tui-xach-thoi-trang-cho-mg-zs-ev-ep-cong-voi-hs-zs-mg5-extender-mg6-rx5-i2412028436.html
1266,👝LAORENTOU Ví Ngắn Nam Ví Đựng Thẻ Da Bò Thật 100% Ví Đựng Tiền Xu Tiêu Chuẩn Đa Năng Thông Thường,264.473 ₫,278 Đã bán,Nước ngoài,38% Off,(377),https://www.lazada.vn/products/laorentou-vi-ngan-nam-vi-dung-the-da-bo-that-100-vi-dung-tien-xu-tieu-chuan-da-nang-thong-thuong-i1866005539.html
1267,"ví nam Cef 04, bóp nam cefiro logo đại bàng da bò sáp siêu đẹp, ví da nam ví đứng thiết kế nhiều ngăn đựng tiền đựng thẻ, bảo hành da 6 tháng - Fox Leather",168.000 ₫,19 Đã bán,Hà Nội,37% Off,(19),https://www.lazada.vn/products/vi-nam-cef-04-bop-nam-cefiro-logo-dai-bang-da-bo-sap-sieu-dep-vi-da-nam-vi-dung-thiet-ke-nhieu-ngan-dung-tien-dung-the-bao-hanh-da-6-thang-fox-leather-i2065235357.html
1268,"CUIKCA Ví Ngắn RFID Phiên Bản Hàn Quốc, Người Đàn Ông Của Ví Bóp Ví Túi Đựng Thẻ Dây Đàn Hồi PU Họa Tiết Chéo Chủ Thẻ",62.000 ₫,17 Đã bán,Nước ngoài,26% Off,(3),https://www.lazada.vn/products/cuikca-vi-ngan-rfid-phien-ban-han-quoc-nguoi-dan-ong-cua-vi-bop-vi-tui-dung-the-day-dan-hoi-pu-hoa-tiet-cheo-chu-the-i1131714027.html
1269,"Ví cầm tay nam hàng hiệu, ví dài nam hàng cao cấp Baellery",99.000 ₫,89 Đã bán,Hà Nội,50% Off,(1),https://www.lazada.vn/products/vi-cam-tay-nam-hang-hieu-vi-dai-nam-hang-cao-cap-baellery-i1295966832.html
