,name_comment,content_comment,skuInfo_comment,like_count
318,đức A.Chứng nhận đã mua hàng,"hàng đẹp quá , với tầm giá như này mà có được sản phẩm Như này là quá tuyệt vời, cảm ơn shop",Nhóm màu:Màu Xanh Navy,0
319,*******191Chứng nhận đã mua hàng,mẫu mã đẹp rất ưng nhaaaaaaaaaaaaaaaaa,Nhóm Màu:Màu nâu đậm,0
320,*******191Chứng nhận đã mua hàng,Kiểu dáng:ik Màu sắc:ok Chất liệu:ok,Nhóm Màu:Đen,0
321,*******191Chứng nhận đã mua hàng,"Ví da mềm mại, Chất liệu da cao cấp, Lý tưởng cho việc sử dụng hàng ngày,",Nhóm Màu:Màu nâu đậm,0
322,Hùng V.Chứng nhận đã mua hàng,"vi dep men maiThiết kế mượt mà và thanh lịch,",Nhóm Màu:Màu nâu đậm,0
323,ManChứng nhận đã mua hàng,"Giao đúng mẫu. Ví rất đẹp, mềm. Xuất sắ",Nhóm Màu:Màu nâu đậm,0
324,H***1Chứng nhận đã mua hàng,"Kiểu dáng ví thời trang hiện đại, nhìn rất bắt mắt. Da chất liệu da bò nên cầm êm tay, chỉ may rất chắc chắn, sản phẩm hoàn thiện tốt. Màu sắc cùng tươi, trẻ trung. Giá cả lại rẻ nữa. Sẽ ủng hộ shop tiếp nha",Nhóm Màu:Màu nâu đậm,0
325,Chị M.Chứng nhận đã mua hàng,"Đẹp quá đẹp, anh nhà thích lắm. Còn kêu mua dùm cho mấy ông anh. Da thật như vậy là giá quá tốt , đóng gói chắc chắn nhé, nhiều nơi bán giá rẻ hơn rất nhiều nhưng ví không đẹp nhiều lỗi. Chất lượng miễn bàn rồi, sẽ ủng hộ shop lâu dài. Ngàn sao nhé shop ơi.",Nhóm Màu:Màu nâu đậm,0
326,Nguyen P.Chứng nhận đã mua hàng,"Mẫu mã ví được, đơn giản không màu mè, có nhiều ngăn để tiền và thẻ với các giấy tờ tùy thân rất tiện lợi. Gía cả rất hợp lí so với 1 số shop giá thấp nhưng ví có chất lượng không tốt, không đẹp. Mua làm quà tặng sinh nhật rất hợp lí đặc biệt là các bạn trẻ. Tặng shop 5 sao vì nhiệt tình và mẫu mã rất xịn xò.",Nhóm Màu:Màu đen đậm,0
327,M***nChứng nhận đã mua hàng,"Mua hàng rất nhiều nơi nhưng vẫn kh ưng bằng shop. Sản phẩm được đóng gói cẩn thận, không bị móp méo, ví chất lượng tốt, đường chỉ may đẹp, ví đúng da thật, cầm nắm chắc chắn. Shop uy tín, nhiệt tình, shop giao hàng nhanh lẹ. Sữ ghé ủng hộ tiếp! Thanks shop đã tư vấn.",Nhóm Màu:Màu đen đậm,0
